Date,Open,High,Low,Close,Adj Close,Volume
2/1/2014,18.57,21.48,13.44,14,14,0
3/1/2014,16.469999,18.219999,13.46,13.88,13.88,0
4/1/2014,13.43,17.85,12.6,13.41,13.41,0
5/1/2014,13.64,14.49,11.32,11.4,11.4,0
6/1/2014,11.69,12.89,10.34,11.57,11.57,0
7/1/2014,11.28,17.110001,10.28,16.950001,16.950001,0
8/1/2014,16.67,17.57,11.24,12.09,12.09,0
9/1/2014,12.32,17.08,11.52,16.309999,16.309999,0
10/1/2014,16.440001,31.059999,13.72,14.03,14.03,0
11/1/2014,14.41,15.93,11.91,13.33,13.33,0
12/1/2014,14.16,25.200001,11.53,19.200001,19.200001,0
1/1/2015,17.76,23.43,15.52,20.969999,20.969999,0
2/1/2015,20.889999,22.809999,12.86,13.34,13.34,0
3/1/2015,13.9,17.190001,12.54,15.29,15.29,0
4/1/2015,15.32,16.66,12.12,14.55,14.55,0
5/1/2015,13.98,16.360001,11.82,13.84,13.84,0
6/1/2015,13.92,19.799999,11.93,18.23,18.23,0
7/1/2015,16.629999,20.049999,11.71,12.12,12.12,0
8/1/2015,12.85,53.290001,10.88,28.43,28.43,0
9/1/2015,31.91,33.82,17.870001,24.5,24.5,0
10/1/2015,23.139999,25.23,12.8,15.07,15.07,0
11/1/2015,15.41,20.67,13.67,16.129999,16.129999,0
12/1/2015,15.61,26.809999,14.45,18.209999,18.209999,0
1/1/2016,22.48,32.09,19.25,20.200001,20.200001,0
2/1/2016,21.32,30.9,18.379999,20.549999,20.549999,0
3/1/2016,19.84,20.17,13.06,13.95,13.95,0
4/1/2016,15.23,17.09,12.5,15.7,15.7,0
5/1/2016,16.33,17.65,13.04,14.19,14.19,0
6/1/2016,14.45,26.719999,12.72,15.63,15.63,0
7/1/2016,15.59,17.040001,11.4,11.87,11.87,0
8/1/2016,11.89,14.93,11.02,13.42,13.42,0
9/1/2016,13.07,20.51,11.65,13.29,13.29,0
10/1/2016,13.75,17.950001,12.21,17.059999,17.059999,0
11/1/2016,16.540001,23.01,12.16,13.33,13.33,0
12/1/2016,13.4,14.72,10.93,14.04,14.04,0
1/1/2017,14.07,14.07,10.3,11.99,11.99,0
2/1/2017,11.79,12.96,9.97,12.92,12.92,0
3/1/2017,12.31,15.11,10.6,12.37,12.37,0
4/1/2017,12.59,16.280001,10.22,10.82,10.82,0
5/1/2017,10.92,16.299999,9.56,10.41,10.41,0
6/1/2017,10.42,15.16,9.37,11.18,11.18,0
7/1/2017,11.07,13.05,8.84,10.26,10.26,0
8/1/2017,10.19,17.280001,9.52,10.59,10.59,0
9/1/2017,10.33,14.06,9.36,9.51,9.51,0
10/1/2017,9.59,13.2,9.11,10.18,10.18,0
11/1/2017,9.79,14.51,8.56,11.28,11.28,0
12/1/2017,11.19,14.58,8.9,11.04,11.04,0
1/1/2018,10.95,15.42,8.92,13.54,13.54,0
2/1/2018,13.05,50.299999,12.5,19.85,19.85,0
3/1/2018,19.959999,26.219999,13.31,19.969999,19.969999,0
4/1/2018,21.07,25.719999,14.57,15.93,15.93,0
5/1/2018,16,18.780001,10.91,15.43,15.43,0
6/1/2018,14.92,19.610001,11.22,16.09,16.09,0
7/1/2018,17.700001,18.08,11.44,12.83,12.83,0
8/1/2018,13.09,16.860001,10.17,12.86,12.86,0
9/1/2018,13.13,15.63,11.1,12.12,12.12,0
10/1/2018,11.99,28.84,11.34,21.23,21.23,0
11/1/2018,20.959999,23.809999,16.09,18.07,18.07,0
12/1/2018,16.040001,36.200001,15.94,25.42,25.42,0
1/1/2019,27.540001,28.530001,16.540001,16.57,16.57,0
2/1/2019,16.629999,17.889999,13.44,14.78,14.78,0
3/1/2019,14.57,18.33,12.37,13.71,13.71,0
4/1/2019,13.9,14.39,11.03,13.12,13.12,0
5/1/2019,12.86,23.379999,12.74,18.709999,18.709999,0
6/1/2019,19.41,19.75,13.19,15.08,15.08,0
7/1/2019,13.85,16.549999,11.69,16.120001,16.120001,0
8/1/2019,15.41,24.809999,13.73,18.98,18.98,0
9/1/2019,20.959999,21.15,13.31,16.24,16.24,0
10/1/2019,16.02,21.459999,12.27,13.22,13.22,0
11/1/2019,12.5,14.17,11.42,12.62,12.62,0
12/1/2019,12.69,17.99,11.71,13.78,13.78,0
1/1/2020,13.46,19.99,11.75,18.84,18.84,0
2/1/2020,18.639999,49.48,13.38,40.110001,40.110001,0
3/1/2020,38.540001,85.470001,24.93,53.540001,53.540001,0
4/1/2020,57.380001,60.59,30.540001,34.150002,34.150002,0
5/1/2020,38.169998,40.32,25.92,27.51,27.51,0
6/1/2020,28.940001,44.439999,23.540001,30.43,30.43,0
7/1/2020,30.959999,33.669998,23.549999,24.459999,24.459999,0
8/1/2020,25.75,27.09,20.280001,26.41,26.41,0
9/1/2020,25.860001,38.279999,24.84,26.370001,26.370001,0
10/1/2020,25.780001,41.16,24.030001,38.02,38.02,0
11/1/2020,38.57,38.779999,19.51,20.57,20.57,0
12/1/2020,20.209999,31.459999,19.969999,22.75,22.75,0
1/1/2021,23.040001,37.509998,21.09,33.09,33.09,0
2/1/2021,31.450001,33.959999,19.690001,27.950001,27.950001,0
3/1/2021,25.200001,31.9,18.68,19.4,19.4,0
4/1/2021,18.6,19.9,15.38,18.610001,18.610001,0
5/1/2021,18.65,28.93,15.9,16.76,16.76,0
6/1/2021,17.24,21.82,14.1,15.83,15.83,0
7/1/2021,15.62,25.09,14.25,18.24,18.24,0
8/1/2021,18.16,24.74,15.19,16.48,16.48,0
9/1/2021,16.059999,28.790001,15.68,23.139999,23.139999,0
10/1/2021,24.780001,24.889999,14.84,16.26,16.26,0
11/1/2021,16.85,28.99,14.73,27.190001,27.190001,0
12/1/2021,24.92,35.32,16.620001,17.219999,17.219999,0
1/1/2022,17.6,38.939999,16.34,24.83,24.83,0
2/1/2022,24.57,37.790001,19.93,30.15,30.15,0
3/1/2022,29.450001,37.52,18.67,20.559999,20.559999,0
4/1/2022,20.620001,34.34,18.450001,33.400002,33.400002,0
5/1/2022,33.349998,36.639999,24.940001,26.190001,26.190001,0
6/1/2022,26.049999,35.049999,23.74,28.709999,28.709999,0
7/1/2022,29.530001,29.82,21.209999,21.33,21.33,0
8/1/2022,22.41,27.690001,19.120001,25.870001,25.870001,0
9/1/2022,26.879999,34.880001,22.639999,31.620001,31.620001,0
10/1/2022,33,34.529999,25.75,25.879999,25.879999,0
11/1/2022,25.959999,26.870001,20.309999,20.58,20.58,0
12/1/2022,20.83,25.84,18.950001,21.67,21.67,0
1/1/2023,23.09,23.76,17.969999,19.4,19.4,0
2/1/2023,19.620001,23.629999,17.059999,20.700001,20.700001,0
3/1/2023,20.389999,30.809999,18.16,18.700001,18.700001,0
4/1/2023,19.790001,20.08,15.72,15.78,15.78,0
5/1/2023,16.41,21.33,15.53,17.950001,17.950001,0
6/1/2023,null,null,null,null,null,null
7/1/2023,null,null,null,null,null,null
8/1/2023,null,null,null,null,null,null
9/1/2023,null,null,null,null,null,null
10/1/2023,null,null,null,null,null,null
11/1/2023,null,null,null,null,null,null
